City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Saldanha,41.42,76.77,28,0,1.63
Kargasok,59.06,44.37,90,97,3.22
Saint-Philippe,45.36,65.1,52,75,6.93
Klaksvik,62.23,48.2,61,100,9.17
Westport,41.14,75.45,50,1,5.82
Beyneu,45.32,62.19,34,6,6.49
Shellbrook,53.22,73.4,46,40,9.17
Shetpe,44.14,65.07,59,58,6.24
Zholymbet,51.74,46.35,80,15,2.77
Tahe,52.34,53.55,97,90,2.48
Dikson,73.51,39.15,90,100,8.59
Sioux Lookout,50.1,53.6,62,75,3.36
Provost,52.35,75.51,42,24,9.53
Alofi,-19.06,78.8,69,75,13.87
Tommot,58.97,47.97,97,100,4.81
Kloulklubed,7.04,77.0,88,90,16.11
Zhmerynka,49.04,59.0,91,100,10.54
Georgetown,6.8,85.19,74,20,11.41
Lebu,8.96,57.2,76,75,4.7
Basna,25.97,83.25,79,100,7.67
Amuntai,-2.42,68.85,79,0,1.79
Bay Roberts,47.58,60.12,82,90,12.75
Arenal,8.46,91.35,53,6,4.85
The Pas,53.82,55.4,76,90,10.29
East London,-33.02,54.27,80,0,3.87
Havre-Saint-Pierre,50.23,51.8,76,20,18.34
Aksu,52.04,48.2,87,0,2.24
Lompoc,34.64,81.9,64,1,12.75
Egvekinot,66.32,36.45,88,100,16.67
Tahoua,14.89,92.61,40,77,2.42
Ostrovnoy,68.05,54.63,83,100,11.83
Abu Kamal,34.45,79.11,26,0,5.59
Guerrero Negro,27.97,72.99,80,6,8.95
Fonte Boa,-2.51,88.65,53,5,2.51
Chapais,49.78,57.2,47,40,9.17
Kasongo-Lunda,-6.48,70.65,87,73,1.7
Carballo,43.21,66.29,77,0,2.24
Hammerfest,70.66,53.6,58,0,23.04
Xuanzhou,30.95,69.75,97,100,4.76
Grindavik,63.84,48.29,81,0,9.17
Vila Franca do Campo,37.72,70.38,68,20,10.29
Tofield,53.37,76.15,38,20,6.93
Cidreira,-30.17,53.73,64,76,7.74
Manzanillo,19.05,85.05,71,4,8.39
Kodiak,39.95,86.65,62,1,5.82
Husavik,50.56,58.53,58,98,8.01
Russell,38.9,94.05,46,1,10.29
Coihaique,-45.58,48.22,39,40,3.29
Kirkwood,-33.4,60.8,77,90,16.11
Oistins,13.07,86.0,66,20,18.34
Lagoa,37.14,74.97,78,0,2.24
Tuktoyaktuk,69.44,50.0,66,20,14.99
Udachnyy,66.42,37.4,86,40,2.24
Jega,12.22,84.87,59,0,8.48
Koshurnikovo,54.3,46.53,92,94,6.13
Mehamn,71.03,51.8,71,0,23.04
Abu Zabad,12.35,81.09,65,3,8.86
Saint Anthony,43.97,86.63,15,1,16.11
Turtas,58.94,44.37,96,81,3.71
Zerind,46.62,59.0,100,20,4.7
Pisco,-13.71,67.69,30,20,8.05
Kimberley,-28.74,51.8,18,0,2.55
Bambous Virieux,-20.34,70.66,73,75,2.24
Mar del Plata,-46.43,37.71,45,69,19.04
Lavrentiya,65.58,45.99,98,100,4.0
Xunchang,28.45,70.47,95,81,1.5
Porbandar,21.64,82.71,84,100,18.25
Trelaze,47.45,60.91,67,0,5.82
Provideniya,64.42,50.0,93,90,8.95
Macia,-25.03,65.43,69,0,7.18
Kutum,14.2,82.53,33,0,6.13
Yar-Sale,66.83,48.51,89,100,6.58
Fare,-16.7,76.95,84,20,18.28
Abha,18.22,68.13,77,0,4.7
Mchinji,-13.8,63.81,59,4,6.08
Linfen,36.09,71.37,43,0,6.22
San Quintin,17.54,73.53,87,82,2.62
Belle Fourche,44.67,77.22,33,1,8.05
Brookings,44.31,71.73,56,1,16.11
Banda Aceh,5.56,81.81,82,100,19.48
Tilichiki,60.47,45.99,64,25,5.21
Ulaangom,49.98,54.45,34,63,3.47
Lebedyan,53.01,57.2,58,0,8.95
Yellowknife,62.45,48.07,81,75,11.41
Bethel,60.79,53.56,81,90,21.92
Kaeo,-35.1,62.01,100,41,8.68
San Patricio,-26.98,63.63,67,0,7.07
Vaijapur,19.92,73.18,90,100,15.86
Bilma,18.69,97.47,14,0,5.64
Dobele,56.63,50.0,100,0,4.7
Youhao,47.86,53.01,95,34,2.06
Constitucion,23.99,73.0,54,46,7.0
Berlevag,70.86,50.63,71,0,23.04
Carnarvon,-30.97,54.63,11,0,4.25
Staunton,38.15,82.9,54,1,4.7
Sibu,2.29,75.07,94,75,2.24
Balikpapan,-1.24,69.03,90,69,3.18
Port Elizabeth,39.31,79.05,57,1,3.36
San Jeronimo,-13.65,60.57,48,74,11.21
Torbay,47.66,60.13,93,90,20.8
Mekhe,15.11,82.4,83,14,4.7
Thompson,55.74,59.0,67,75,13.87
Kalaleh,37.38,68.0,94,75,5.7
Poopo,-18.38,57.87,29,80,15.52
Pedernales,0.07,70.83,86,13,13.98
Fiche,9.77,60.03,75,46,2.73
Lincoln,53.23,62.65,82,92,18.34
Hobyo,5.35,77.85,76,54,29.42
Abyek,36.04,62.6,72,0,11.41
Naerbo,58.67,51.19,76,0,4.7
Yuci,37.68,53.6,71,0,2.24
Hambantota,6.12,77.0,100,40,5.82
Shimoda,34.7,75.72,94,28,2.86
Clyde River,70.47,41.0,100,90,6.93
Bambanglipuro,-7.95,72.09,83,91,6.35
Atambua,-9.11,73.71,74,2,9.31
Teguldet,57.31,46.17,94,100,4.85
Arvika,59.65,50.61,100,0,4.7
Olinda,-37.84,50.23,100,75,9.17
Dingle,11.0,73.18,83,100,3.06
Hobart,-42.88,49.75,61,20,6.93
Shar,7.3,75.69,94,100,1.05
Quatre Cocos,-20.21,70.72,73,75,2.24
Genc,38.75,61.47,35,0,4.14
Najran,17.54,84.2,14,20,5.82
Igarka,67.47,40.95,91,0,6.22
Salto del Guaira,-24.06,69.39,63,36,1.43
Puerto Carreno,6.19,80.6,74,40,6.55
Sao Filipe,14.9,80.91,86,100,5.79
Swidnica,50.84,57.65,67,0,8.05
Sinnamary,5.38,81.99,81,0,17.81
Tiksi,71.64,39.69,91,32,5.53
Taltal,-25.41,58.05,62,0,3.29
Banjar,-7.37,66.15,96,100,0.96
Narsaq,60.91,48.2,81,100,4.7
Khambhaliya,22.21,83.07,84,87,14.76
Przasnysz,53.02,59.97,63,0,2.24
Sorland,67.67,51.57,80,100,33.29
Am Timan,11.04,74.07,93,96,3.36
Pedra,-8.5,70.29,78,68,7.38
Ghanzi,-21.7,62.01,25,0,4.03
Mersing,2.43,74.61,94,100,1.39
Vardo,39.62,82.47,42,1,4.7
Biltine,14.53,84.87,59,53,10.74
Fortuna,40.6,68.22,72,20,16.11
Santa Cruz,-6.22,75.33,65,4,11.48
Gumdag,39.2,63.99,60,0,0.98
Mount Isa,-20.73,59.0,21,100,15.41
Puerto Baquerizo Moreno,-0.9,75.2,73,75,11.41
Arraial do Cabo,-22.97,71.6,94,75,9.17
Waingapu,-9.65,66.33,93,7,8.86
Sobolevo,54.43,58.77,95,88,10.76
Maldonado,-34.91,44.6,61,20,9.17
Payson,40.04,88.74,20,1,14.99
Yashkul,46.17,68.85,42,15,7.49
Lengshuijiang,27.66,63.99,93,0,3.29
Pangnirtung,66.15,42.8,93,90,2.24
Nemuro,43.32,60.93,71,0,6.31
Nagorsk,59.32,46.53,89,54,1.16
Ulladulla,-35.36,45.88,87,0,4.7
Bandarban,22.2,75.51,96,100,3.02
Pochutla,15.74,90.0,56,37,3.69
Baykit,61.68,36.45,95,39,1.54
Ilulissat,69.22,50.0,43,20,10.29
Vao,59.1,51.03,93,97,5.12
Mackenzie,55.34,71.6,49,90,6.93
Bandarbeyla,9.49,76.77,67,36,25.57
Amambai,-23.11,69.39,68,51,5.64
Mareeba,-16.99,63.48,67,61,4.45
Omboue,-1.57,76.05,83,30,14.81
Mackay,53.65,74.3,41,20,6.93
The Valley,18.22,85.03,66,20,16.11
Ouesso,1.61,77.13,67,100,0.72
Bayburt,40.26,45.81,83,38,4.83
Mandalgovi,45.76,63.27,33,56,10.29
Oltenita,44.08,72.27,56,0,8.05
Waddan,29.16,77.49,63,0,5.64
Suluq,31.67,80.55,67,0,9.66
Luderitz,-26.65,53.6,93,33,8.05
Honiara,-9.43,77.0,94,40,3.36
Bogovarovo,58.98,46.53,90,84,1.14
Flin Flon,54.77,57.2,71,90,11.41
Okhtyrka,50.31,65.79,62,0,2.51
Henties Bay,-22.12,53.01,93,0,8.1
Mezen,65.85,57.87,90,88,9.1
Namatanai,-3.66,78.57,86,90,11.74
Kavieng,-2.57,83.61,75,85,12.26
Amga,60.89,50.85,97,99,4.99
Billericay,51.63,61.5,77,0,14.99
Tshikapa,-6.42,78.21,59,0,2.82
Bukama,-9.2,72.63,33,82,0.98
Tenenkou,14.46,82.71,67,100,7.29
Geraldton,49.72,51.8,71,90,11.41
Roebourne,-20.77,62.91,51,0,7.31
Avera,33.19,90.07,46,1,6.93
Bubaque,11.28,82.53,84,100,10.78
Kaitong,44.81,65.97,91,84,8.95
Luanda,-8.83,71.6,88,20,5.82
Oranjemund,-28.55,56.43,88,70,14.74
Itarema,-2.92,78.21,68,0,14.43
Desterro,-7.29,75.51,62,32,10.83
Chabahar,25.29,82.4,83,35,4.81
Suntar,62.16,45.45,95,67,4.16
Santa Maria,-16.02,79.09,26,0,9.17
Imbituba,-28.24,60.8,72,75,12.75
Huarmey,-10.07,60.75,88,0,9.98
Cherskiy,68.75,45.99,48,0,3.71
Segou,12.41,82.4,83,40,2.37
Pulandian,39.4,69.8,83,67,2.24
Hervey Bay,-25.3,55.4,76,0,5.82
Nacozari,25.34,91.0,59,3,4.0
Bud,62.91,46.92,81,95,6.93
Gondal,21.96,82.0,10,100,5.66
Pechenga,58.89,49.77,89,0,3.74
Grand Gaube,-20.01,70.81,73,75,2.24
George Town,5.42,77.0,94,75,2.24
Bonavista,48.65,59.0,84,100,10.0
Gambela,8.25,69.39,88,100,3.51
Sabya,17.15,89.6,59,0,3.36
Novomykolayivka,48.54,68.31,73,57,12.41
Guaruja,-23.99,65.59,88,75,3.36
Horta,-10.93,78.8,74,20,9.17
Benguela,-12.58,69.21,88,100,9.17
Sao Sebastiao,-3.15,94.41,38,62,4.56
Ekuvukeni,-28.47,53.55,27,0,2.35
Plettenberg Bay,-34.05,53.73,91,74,5.68
Birjand,32.86,73.4,17,0,6.93
Blenheim,-41.52,54.03,95,100,1.01
Arkadak,51.94,52.65,70,0,6.44
Kysyl-Syr,63.9,36.63,95,0,0.92
Broome,52.47,63.99,77,90,11.41
Phatthalung,7.62,77.0,100,20,4.59
Pringsewu,-5.36,69.03,96,98,0.34
Rio Grande,-32.03,47.28,57,0,4.7
Kuruman,-27.46,51.01,27,9,4.99
Hami,42.84,73.71,33,40,7.18
Port Lincoln,-34.72,57.87,86,100,4.34
Iralaya,15.0,89.6,66,75,9.17
Naze,5.43,74.79,95,100,6.53
Aktau,43.65,59.0,87,0,8.95
Jiuquan,39.73,66.15,37,0,2.35
Eenhana,-17.48,73.4,11,0,5.82
Janakpur,26.73,82.71,71,100,4.7
Buraydah,26.33,95.0,20,20,4.7
Tomatlan,19.93,87.57,66,35,18.63
Bayir,37.27,72.46,78,0,3.36
Kieta,-6.22,80.55,77,100,5.35
Petatlan,17.52,84.33,76,77,7.63
Nicoya,10.15,89.6,62,40,11.41
Aswan,24.09,91.4,24,0,6.93
Nakodar,31.13,84.33,65,0,5.64
Cap-aux-Meules,47.38,60.8,82,75,12.75
Isangel,-19.55,75.2,64,40,6.93
Srednekolymsk,67.46,47.97,44,25,10.07
Lokosovo,61.13,45.99,96,73,6.42
Fez,34.03,79.47,34,20,14.99
Coahuayana,18.62,86.13,63,16,2.77
Plyussa,58.42,51.75,97,100,4.0
Nurmahal,31.1,81.81,71,0,4.23
Sanguem,15.23,75.15,96,100,3.71
Komsomolskiy,67.55,49.41,79,100,5.88
Ust-Omchug,61.13,45.81,73,0,4.12
Chuy,-33.69,48.69,58,48,11.5
Ilebo,-4.33,72.09,93,100,4.9
Bada,7.45,75.51,95,100,4.12
Palmer,-34.85,51.31,87,0,3.36
Nanortalik,60.14,46.71,87,100,14.32
Jalu,29.03,87.39,23,46,6.53
Mayo,63.59,66.2,37,40,9.17
Treinta y Tres,-33.23,46.35,70,0,9.13
Indramayu,-4.05,67.23,87,83,3.22
Turochak,52.26,47.97,79,60,0.85
Ordzhonikidze,44.96,66.51,37,0,3.33
Kjollefjord,70.95,51.8,71,0,23.04
Kenora,49.76,52.16,93,90,5.82
Syracuse,43.05,73.96,69,1,5.99
Wanning,48.64,52.18,87,0,1.12
Brae,60.4,52.72,93,92,21.92
Miyazu,35.58,69.57,97,100,1.3
Maromitsa,59.87,45.99,86,53,1.86
Tuchola,53.59,60.15,62,0,4.7
Valleyview,55.07,75.15,42,0,4.0
Sao Miguel do Araguaia,-13.28,95.68,13,0,2.01
Port Hueneme,34.15,88.39,61,40,9.17
San Joaquin,10.59,75.69,91,52,1.61
Lichfield,52.68,60.98,87,75,9.17
Te Anau,-45.41,40.77,88,100,0.6
Puerto Ayacucho,5.66,80.6,74,40,4.43
Kouango,4.99,72.81,90,100,2.01
Yichun,47.72,53.01,95,34,2.06
Odienne,9.51,72.63,93,100,4.43
Edea,3.8,77.0,94,75,1.74
Jardim,-21.48,79.83,42,9,8.25
Griffith,-34.29,41.23,75,0,3.36
Koindu,8.44,71.37,98,100,4.72
Santa Ana,30.54,98.01,47,0,1.01
Sulphur Springs,33.14,94.48,34,1,5.82
Damghan,36.17,50.67,96,59,4.56
Iquique,-20.22,62.6,67,0,13.87
Bowen,-20.01,44.6,93,71,3.36
Panguna,-6.32,80.73,82,92,12.66
Aqtobe,50.28,51.8,71,0,4.47
Champerico,16.38,89.6,46,75,3.36
Bradeni,46.08,65.17,77,100,5.82
Obra,24.47,78.75,88,100,4.85
Ciudad Bolivar,8.12,91.35,53,57,3.78
Kinablangan,7.69,71.19,82,100,4.0
Neuquen,-38.95,57.2,82,0,6.93
Kankan,10.38,72.99,95,100,3.51
Kavaratti,10.57,81.99,78,87,20.89
Manokwari,-0.87,72.81,88,100,3.85
Limulan,6.59,78.21,71,100,3.91
Talnakh,69.49,46.4,100,90,4.47
Tuatapere,-46.13,46.0,95,100,1.99
Port Macquarie,-31.43,52.84,100,0,2.24
Ayia Paraskevi,40.48,75.43,73,0,1.12
Antalaha,-14.9,60.39,97,8,3.76
Saint-Leu,-21.15,63.18,52,0,5.82
Wangkui,46.83,62.37,98,94,8.7
Ondjiva,-17.07,69.03,13,0,6.87
Shieli,44.18,64.71,31,100,9.53
Mayumba,-3.44,73.71,86,100,12.71
Sawakin,19.1,88.65,32,100,0.87
Jackson,43.48,81.79,17,20,4.7
Dukat,40.25,74.97,67,100,4.74
Necochea,-38.55,43.0,74,58,10.0
Arauco,-37.25,57.2,44,0,13.87
Havelock,34.88,83.8,62,40,10.29
Wuda,39.5,65.07,54,0,16.84
Ingham,-18.65,54.63,52,98,2.95
Maragogi,-9.01,71.01,91,0,4.36
Midland,32.0,93.27,24,1,5.82
Vostok,46.45,51.93,90,0,3.09
Sao Caetano de Odivelas,-0.75,82.53,81,16,15.01
Belmonte,40.36,71.24,73,0,3.04
Rio Gallegos,-51.62,41.0,41,75,11.41
Iqaluit,63.75,41.0,93,90,24.16
Launceston,-41.43,47.97,100,75,8.05
Freeport,26.54,83.61,76,100,49.35
Batagay-Alyta,67.8,30.15,96,100,5.93
Chifeng,42.27,59.31,76,86,0.38
Kholodnyy,62.72,44.55,58,79,2.8
Juba,57.82,51.91,87,0,5.82
Anzoategui,4.63,83.73,28,40,13.87
Alekseyevsk,57.84,43.83,87,42,0.98
Beloha,-25.17,61.47,80,0,7.9
Zyryanka,65.73,52.83,56,100,2.19
Chumikan,54.72,50.31,84,100,6.38
Tiznit,29.7,67.41,91,0,4.74
Surt,31.21,80.19,79,3,13.96
Fort-Shevchenko,44.51,69.75,61,0,9.17
Viedma,-40.81,42.39,60,80,24.61
Kibala,9.11,77.0,88,20,1.28
Roald,62.58,45.37,71,100,11.41
Kurilsk,45.23,60.21,82,0,13.27
Matata,-37.89,59.68,100,100,8.01
Cochrane,-47.25,48.2,31,0,5.82
Tagusao,9.19,80.91,62,86,4.5
Baruun-Urt,46.68,60.93,43,0,6.33
Oneonta,42.45,71.94,68,25,3.0
Ahuimanu,21.44,86.63,43,40,11.41
Harper,30.3,92.66,26,40,11.41
Carutapera,-1.2,80.01,75,95,9.73
Leningradskiy,69.38,35.19,82,98,4.59
Buin,-33.73,71.44,12,0,8.05
Carberry,49.87,59.0,67,90,9.17
San Vicente,-0.59,86.0,58,0,9.17
Ambon,47.55,58.06,87,0,8.05
Goderich,43.74,75.0,73,83,21.0
Kannad,20.26,75.2,94,40,3.36
Springbok,-29.67,55.71,65,67,4.07
Lobva,59.19,44.55,97,79,3.96
Nouadhibou,20.93,75.2,73,0,17.22
Luganville,-15.51,77.0,78,75,4.7
Balkhash,46.84,59.85,23,100,5.93
Zalari,53.57,51.39,92,8,0.56
Araripina,-7.58,76.59,57,7,9.51
Turukhansk,65.8,42.75,84,87,3.89
Les Cayes,18.19,84.51,75,0,14.9
Montepuez,-13.13,71.19,64,14,5.55
Nacogdoches,31.6,93.15,34,1,9.17
Adrar,27.87,86.0,37,40,25.28
Hauterive,49.18,56.39,54,1,13.87
Petropavlovsk-Kamchatskiy,53.05,53.6,100,75,0.83
Chicama,-7.84,64.4,82,0,11.41
Purwodadi,-7.08,77.0,69,40,6.93
Gornopravdinsk,60.06,48.33,96,93,3.51
Garowe,8.41,85.23,39,0,21.0
Chalus,36.66,69.8,88,20,2.73
Cabedelo,-6.97,75.2,88,0,5.82
Makokou,0.56,70.65,96,82,3.62
Coquimbo,-29.95,55.4,76,0,9.17
Surskoye,54.48,48.69,84,6,3.91
General Pico,-35.66,54.63,18,0,6.31
San Jose,14.25,91.4,38,40,4.7
Alice Springs,-23.7,57.2,14,67,4.7
Vestmannaeyjar,63.44,51.57,70,0,18.59
Sakaiminato,35.55,74.35,94,75,2.24
Novo Aripuana,-5.12,84.69,61,69,6.6
Rosignano Marittimo,43.41,70.2,56,0,10.29
Umtata,-31.59,53.6,20,0,6.93
Soligalich,59.08,49.05,84,0,3.58
Whitehorse,60.72,64.9,29,75,8.05
Manado,1.49,71.6,78,20,6.11
Ashland,38.48,85.51,51,1,3.36
Panaba,21.28,88.29,61,63,8.95
Beringovskiy,63.05,41.67,94,100,5.86
Dubbo,-32.25,51.8,43,0,5.82
Namibe,-15.19,65.07,85,53,6.11
Ko Samui,9.54,81.99,76,100,12.21
Nantucket,41.28,69.37,77,1,9.17
Yankton,42.87,77.56,41,1,14.99
Evensk,61.92,49.95,51,88,3.06
Varazdin,46.3,54.9,87,0,3.36
Sola,-3.17,73.35,34,20,6.69
Araioses,-2.89,79.47,71,84,8.12
Fredericton,45.97,65.82,68,75,5.82
Orlik,53.95,58.05,71,0,10.29
Camargo,27.69,87.03,28,1,10.8
Brownsville,25.91,75.65,94,40,4.7
Vikhorevka,56.12,49.93,93,40,6.71
Hillsborough,37.57,74.07,82,75,16.11
Paamiut,61.99,45.81,92,100,39.37
Vila Velha,-3.71,79.68,69,20,9.17
Shebalino,51.29,42.21,95,100,2.1
Portobelo,9.55,82.27,78,40,12.75
Bam,29.11,64.18,34,0,3.47
Port Hardy,50.7,60.8,82,40,10.29
Develi,38.39,57.49,44,0,3.91
